experiment	weight	group	litter
1	688	Enriched	1
1	655	Control	1
1	655	Enriched	2
1	623	Control	2
1	668	Enriched	3
1	652	Control	3
1	660	Enriched	4
1	654	Control	4
1	679	Enriched	5
1	655	Control	5
1	663	Enriched	6
1	646	Control	6
1	664	Enriched	7
1	600	Control	7
1	647	Enriched	8
1	640	Control	8
1	694	Enriched	9
1	605	Control	9
1	633	Enriched	10
1	635	Control	10
1	653	Enriched	11
1	642	Control	11
1	676	Enriched	12
1	661	Control	12
2	707	Enriched	13
2	669	Control	13
2	740	Enriched	14
2	650	Control	14
2	745	Enriched	15
2	651	Control	15
2	652	Enriched	16
2	627	Control	16
2	649	Enriched	17
2	656	Control	17
2	676	Enriched	18
2	642	Control	18
2	699	Enriched	19
2	698	Control	19
2	696	Enriched	20
2	648	Control	20
2	712	Enriched	21
2	676	Control	21
2	708	Enriched	22
2	657	Control	22
2	749	Enriched	23
2	692	Control	23
2	691	Enriched	24
2	618	Control	24
3	690	Enriched	25
3	668	Control	25
3	701	Enriched	26
3	667	Control	26
3	685	Enriched	27
3	647	Control	27
3	751	Enriched	28
3	693	Control	28
3	647	Enriched	29
3	635	Control	29
3	647	Enriched	30
3	644	Control	30
3	720	Enriched	31
3	665	Control	31
3	718	Enriched	32
3	689	Control	32
3	718	Enriched	33
3	642	Control	33
3	696	Enriched	34
3	673	Control	34
3	658	Enriched	35
3	675	Control	35
3	680	Enriched	36
3	641	Control	36
